ENSMUSG00000064341	ENSHGLG00000000006
ENSMUSG00000064345	ENSHGLG00000000010
ENSMUSG00000064351	ENSHGLG00000000016
ENSMUSG00000064354	ENSHGLG00000000019
ENSMUSG00000064356	ENSHGLG00000000021
ENSMUSG00000064357	ENSHGLG00000000022
ENSMUSG00000064358	ENSHGLG00000000023
ENSMUSG00000064360	ENSHGLG00000000025
ENSMUSG00000065947	ENSHGLG00000000027
ENSMUSG00000064363	ENSHGLG00000000028
ENSMUSG00000064367	ENSHGLG00000000032
ENSMUSG00000064368	ENSHGLG00000000033
ENSMUSG00000064370	ENSHGLG00000000035
ENSMUSG00000026664	ENSHGLG00000000038
ENSMUSG00000073176	ENSHGLG00000000039
ENSMUSG00000021745	ENSHGLG00000000045
ENSMUSG00000053054	ENSHGLG00000000047
ENSMUSG00000046354	ENSHGLG00000000065
ENSMUSG00000082976	ENSHGLG00000000067
ENSMUSG00000072969	ENSHGLG00000000071
ENSMUSG00000028138	ENSHGLG00000000072
ENSMUSG00000048970	ENSHGLG00000000073
ENSMUSG00000027643	ENSHGLG00000000074
ENSMUSG00000073027	ENSHGLG00000000078
ENSMUSG00000039701	ENSHGLG00000000081
ENSMUSG00000040690	ENSHGLG00000000084
ENSMUSG00000061654	ENSHGLG00000000089
ENSMUSG00000033216	ENSHGLG00000000094
ENSMUSG00000022321	ENSHGLG00000000095
ENSMUSG00000079834	ENSHGLG00000000101
ENSMUSG00000062270	ENSHGLG00000000106
ENSMUSG00000103088	ENSHGLG00000000111
ENSMUSG00000025151	ENSHGLG00000000112
ENSMUSG00000032359	ENSHGLG00000000119
ENSMUSG00000031214	ENSHGLG00000000120
ENSMUSG00000030082	ENSHGLG00000000125
ENSMUSG00000079477	ENSHGLG00000000127
ENSMUSG00000032356	ENSHGLG00000000128
ENSMUSG00000061778	ENSHGLG00000000132
ENSMUSG00000027454	ENSHGLG00000000138
ENSMUSG00000063253	ENSHGLG00000000139
ENSMUSG00000032353	ENSHGLG00000000144
ENSMUSG00000039313	ENSHGLG00000000148
ENSMUSG00000048108	ENSHGLG00000000149
ENSMUSG00000002190	ENSHGLG00000000153
ENSMUSG00000047757	ENSHGLG00000000155
ENSMUSG00000030134	ENSHGLG00000000157
ENSMUSG00000053965	ENSHGLG00000000160
ENSMUSG00000035151	ENSHGLG00000000162
ENSMUSG00000032046	ENSHGLG00000000163
ENSMUSG00000036860	ENSHGLG00000000165
ENSMUSG00000031710	ENSHGLG00000000166
ENSMUSG00000032050	ENSHGLG00000000167
ENSMUSG00000034833	ENSHGLG00000000168
ENSMUSG00000002871	ENSHGLG00000000169
ENSMUSG00000035919	ENSHGLG00000000170
ENSMUSG00000030629	ENSHGLG00000000171
ENSMUSG00000064247	ENSHGLG00000000172
